index,Topic_0,Topic_1,Topic_2,Topic_3,signal,month,net_change
q3,0.007956541200284164,0.0006370615052343052,0.0006387971886280461,0.0004068558650601843,positive,11-2021,2.0
october,0.0077569209591177544,0.000951067733873729,1.1226141541395738e-05,0.0008725512177102312,positive,11-2021,2.0
adjust,0.007701445688349637,5.2500103964996806e-06,1.0993942662327623e-05,6.066951011887696e-06,positive,11-2021,2.0
drive,0.00698402243089468,0.002414909907343421,1.1104547124821034e-05,0.010760476341458186,positive,11-2021,2.0
due,0.006859666400546777,5.289439732579321e-06,0.000703622371702931,6.124754261627872e-06,positive,11-2021,2.0
versus,0.0067796326976707795,0.004912671653256413,1.1013953055877735e-05,6.138356650080128e-06,positive,11-2021,2.0
average,0.006586799169769673,0.0024084881924100305,0.00016604179039018951,0.0002634154373790394,positive,11-2021,2.0
end,0.006298646220895632,0.0019712844807017404,0.003277448470368241,0.0030444327897706075,positive,11-2021,2.0
share,0.006271892557124476,0.00131222017958667,0.000695067846142331,0.008859224209980083,positive,11-2021,2.0
pandemic,0.006091380486984328,0.001409866824910486,0.003211782730191634,0.00013597642798610356,positive,11-2021,2.0
operating,0.005950520943839699,5.297884833784079e-06,0.0010066908824602227,0.0006130472287838882,positive,11-2021,2.0
fourth,0.005835309383994828,0.0032091785186163842,0.0009979979364081071,0.0004985916780898363,positive,11-2021,2.0
september,0.005690519926437134,5.2830597837000945e-06,0.0012041641021017938,0.0007427750613723423,positive,11-2021,2.0
debt,0.005376507278176924,5.239394430935754e-06,1.0968512500635018e-05,6.128290853515573e-06,positive,11-2021,2.0
remain,0.0052363790218022555,0.00045362031434192126,0.0008128906498236148,0.004190045375346599,positive,11-2021,2.0
improvement,0.00523441946888646,0.0008324265211312231,1.1057924057422924e-05,0.00038024760129030716,positive,11-2021,2.0
second,0.005194195222085108,0.0028468842227504813,0.0008315600065930475,0.0010871989584020742,positive,11-2021,2.0
demand,0.005046358678757399,0.0021490237278622556,0.0001499418926249474,0.0016853782533621522,positive,11-2021,2.0
pre,0.005027265212932321,0.0012158260721371575,1.1262990410556344e-05,6.128939069967384e-06,positive,11-2021,2.0
improve,0.005001096761557879,0.0013767539745973124,1.1190399164621706e-05,0.0022468713191720145,positive,11-2021,2.0
primarily,0.0047869670172183245,5.316343597452399e-06,1.101293127351471e-05,6.1330098477888945e-06,positive,11-2021,2.0
segment,0.004738722101968272,5.291923879808002e-06,1.1082407441258043e-05,0.0031442570607348383,positive,11-2021,2.0
recovery,0.004593304415149815,0.0006032952270948159,1.113495499536521e-05,0.00018227098431475083,positive,11-2021,2.0
full,0.004586363871643335,0.0018190300709233157,0.0005021248902186246,0.0009136320450012938,positive,11-2021,2.0
balance,0.004502310333011171,0.0007761379390959014,1.1165689109756732e-05,0.0014473476254938428,positive,11-2021,2.0
billion,0.004416654298335175,5.290637362110361e-06,1.1087808324620672e-05,0.0007663432368104696,positive,11-2021,2.0
labor,0.004399005611553345,0.007239993602283356,1.1067787081065323e-05,6.080581462870767e-06,positive,11-2021,2.0
record,0.004351296962809711,5.247708141804244e-06,0.0007156003104482662,0.0009188150679051945,positive,11-2021,2.0
trend,0.004336008468613385,0.0035268990571855415,0.0007029104172057255,0.0003169630815999508,positive,11-2021,2.0
adjusted,0.004230424645569099,5.208389052496469e-06,1.1147022131941789e-05,6.0704861762000205e-06,positive,11-2021,2.0
percentage,0.004226558170382892,0.0010460487085084725,1.1011085901296171e-05,6.163673907335234e-06,positive,11-2021,2.0
grow,0.0038602163405499594,0.0016036546238391012,1.1188034980859447e-05,0.0070257360622695076,positive,11-2021,2.0
store,0.0038173881576612483,0.0036430440555058445,0.005103360982651031,6.137720131111812e-06,positive,11-2021,2.0
income,0.0037065602524907443,5.263595311100414e-06,1.1008746631280856e-05,6.030663669021472e-06,positive,11-2021,2.0
guidance,0.0036848940541753805,0.0024870433342019187,1.1179620482525681e-05,6.103737883041821e-06,positive,11-2021,2.0
offset,0.003661887526067653,0.000870890457648191,1.0969347241260053e-05,6.055432657512146e-06,positive,11-2021,2.0
occupancy,0.003654508297608856,9.831124392126479e-05,1.1090431102684542e-05,6.08310511978202e-06,positive,11-2021,2.0
relate,0.0036465247632730107,0.0008222378074508986,0.0012291278521976863,6.114338054245191e-06,positive,11-2021,2.0
low,0.0035953426339547043,0.0032844921868730643,1.1040092940216805e-05,6.13430634963507e-06,positive,11-2021,2.0
operate,0.003537104102741964,0.0004316685507056178,0.003334455679682794,0.0004200718540439421,positive,11-2021,2.0
fee,0.0035308760071562145,5.422968787835209e-06,0.00041200970689451554,6.158228032129266e-06,positive,11-2021,2.0
generate,0.0035281268742003947,5.296527476864519e-06,1.1160850006209245e-05,0.001160831426513589,positive,11-2021,2.0
turn,0.003508780475291287,5.319758250469077e-06,0.009131767399477334,0.001380329718757991,positive,11-2021,2.0
since,0.0033967959094378035,0.0001833004612889311,0.002761761657479235,0.0019328182421513448,positive,11-2021,2.0
system,0.003372670740060586,0.0024424448348613465,0.003755284901429749,0.0008045862194716606,positive,11-2021,2.0
unit,0.0033265613265186593,0.001099550126403223,0.006586789241086273,0.0012622014487969537,positive,11-2021,2.0
reflect,0.0032822756943368357,5.240438302860122e-06,0.0017532670599435744,6.122596495199219e-06,positive,11-2021,2.0
saw,0.0032683628065800748,0.0018367266697433974,1.1075232766914386e-05,0.0006905933306513708,positive,11-2021,2.0
return,0.0032465054736677303,0.0007703523837780302,1.118146841719927e-05,0.0050390595950023116,positive,11-2021,2.0
volume,0.0032400690779546097,0.0014551442777708853,1.1192052604575022e-05,0.0004073196619546697,positive,11-2021,2.0
q4,0.0032313897457287707,0.0014712990434248524,1.1068071572690836e-05,6.156998637526147e-06,positive,11-2021,2.0
capital,0.003169713669967551,0.00012390168904821683,1.124769350945485e-05,0.005527480793497748,positive,11-2021,2.0
group,0.003126749123357085,0.0012510240355742596,0.0022292705002179432,6.197525003323628e-06,positive,11-2021,2.0
report,0.0031255067427126164,5.322931264919174e-06,0.00265712777863426,0.0003127026900041761,positive,11-2021,2.0
positive,0.0030716029689882417,0.0014388543938859862,0.0008428058240071563,0.0007833875882535957,positive,11-2021,2.0
credit,0.0030514658166782335,5.318634218006831e-06,1.1088735883221514e-05,6.099886684858417e-06,positive,11-2021,2.0
restriction,0.0030187831550453985,5.294152881953962e-06,1.1079424184726163e-05,6.076108572874325e-06,positive,11-2021,2.0
comparable,0.0029737795769409422,5.207866388690763e-06,0.0017764371040614284,6.045579678066605e-06,positive,11-2021,2.0
revpar,0.0029207278953546387,5.230623320646214e-06,1.0951415448151887e-05,6.0551021711807e-06,positive,11-2021,2.0
loss,0.002920612013225855,5.282429966790093e-06,1.0940426655964007e-05,6.107477731895861e-06,positive,11-2021,2.0
significant,0.0029165875318432825,0.0007295396657646886,0.0012283721056260283,0.0032164866047122973,positive,11-2021,2.0
mix,0.0028999258139497316,0.002194874506560532,1.1013718914574247e-05,0.0010344820648343625,positive,11-2021,2.0
tax,0.002894259965897807,5.344672927126575e-06,1.1101284633597729e-05,0.00048068478183656965,positive,11-2021,2.0
range,0.0028545768939847362,0.001338916584331985,1.1199302876974793e-05,0.00047497033822363764,positive,11-2021,2.0
across,0.002830267324602903,0.002682070111216248,0.003313938761889422,0.005142722009192087,positive,11-2021,2.0
note,0.0028292357998852932,0.0007313260353026554,0.0020176125785398543,6.158309102160492e-06,positive,11-2021,2.0
half,0.0028260576712586375,0.002323862723531839,1.1197856106108683e-05,0.0006223907265819755,positive,11-2021,2.0
travel,0.0028257757699363824,0.0010942941892008325,0.002514563366038652,6.188513108602951e-06,positive,11-2021,2.0
mention,0.002824811648684971,0.005743889510515639,0.0020399038505970247,0.0004124262881343519,positive,11-2021,2.0
fiscal,0.0027980596924466463,0.0004925507736550094,0.0009357085769250051,6.11791306449779e-06,positive,11-2021,2.0
decrease,0.0027897650800517244,5.237057894804448e-06,1.0929041618842797e-05,6.043945605016877e-06,positive,11-2021,2.0
interest,0.0027849716179521354,0.0004494878296714835,0.0011886412673967508,0.0002590471813513727,positive,11-2021,2.0
related,0.0027637513004657075,5.275286182698432e-06,0.00027200955884291983,6.1773414445439325e-06,positive,11-2021,2.0
base,0.0027414880073425235,0.0024462961724609628,0.0020799090507182864,0.002752694467121667,positive,11-2021,2.0
new,0.002730944916115607,0.0031121980172724357,0.017779024618939397,0.022448861197815532,positive,11-2021,2.0
continued,0.0027301718574632592,5.274285524847734e-06,1.1233464715648298e-05,0.0017426075687542065,positive,11-2021,2.0
reduce,0.002711230782333363,5.367814114393233e-06,0.0002502803250479366,6.144125576881602e-06,positive,11-2021,2.0
additional,0.002700431702538328,0.0006764438923873463,0.003727793518548131,0.0020692098266226196,positive,11-2021,2.0
leverage,0.0026996679766449136,0.00045064901922026146,1.1070482261330143e-05,0.003477832029417735,positive,11-2021,2.0
shop,0.002687450086458814,5.244973457913755e-06,0.00035685189915521246,0.0015013080644331654,positive,11-2021,2.0
anticipate,0.002679998366135499,0.0009905177908076529,0.0005563815867787018,0.0004677800785602697,positive,11-2021,2.0
july,0.0026586012050592877,5.286162988517107e-06,1.1046526479305163e-05,6.0907711950973554e-06,positive,11-2021,2.0
benefit,0.00263000930905249,0.0014088257607284284,0.00024930265779789376,0.002150964133923549,positive,11-2021,2.0
current,0.002577334636368835,0.001083722700636927,0.0020170386090068537,0.0010911416050999902,positive,11-2021,2.0
wide,0.0025673137360789243,5.274856571928436e-06,0.0004354945860567264,6.192596379925775e-06,positive,11-2021,2.0
sequential,0.002560319761871184,5.296904765159169e-06,1.1048495695243776e-05,6.119651125512774e-06,positive,11-2021,2.0
premise,0.0025597508878383787,5.43779720080738e-06,1.1257805014503025e-05,6.363057379480311e-06,positive,11-2021,2.0
pay,0.0025554116208224417,0.0019580942567441525,0.00017922707255588492,0.000781029633236156,positive,11-2021,2.0
comp,0.002540853179708947,0.001343920163233759,1.1083749215821558e-05,6.084278738015376e-06,positive,11-2021,2.0
domestic,0.0025346132327463255,5.280007899432484e-06,0.0004074256257854576,0.0003520238159174424,positive,11-2021,2.0
line,0.0025268050615183495,0.0030546834430622534,0.0023761785089522454,0.0019318550957719719,positive,11-2021,2.0
capacity,0.0025124462802216794,0.0005322775202742804,0.0004707838205917872,0.00011780958417106098,positive,11-2021,2.0
corporate,0.002510636069917376,0.00018857331919121443,0.0009626565589552191,6.107861054765507e-06,positive,11-2021,2.0
represent,0.002509058224272167,5.2740297118332955e-06,0.00021420643024934843,0.000932486930996673,positive,11-2021,2.0
sheet,0.002462228819410806,5.368594916224925e-06,8.756366416100919e-05,0.0012253315280413143,positive,11-2021,2.0
book,0.002449342351648235,0.0008368002008072082,1.1160046227957961e-05,0.0003166539259268457,positive,11-2021,2.0
august,0.002441901311131714,5.318560496564993e-06,0.0004945805221836345,0.00038900967571552867,positive,11-2021,2.0
still,0.0024329054229310144,0.00786713981969398,1.1252485078418114e-05,0.0006629116355599225,positive,11-2021,2.0
close,0.0024175544867769106,0.002429851282605159,0.00255354710188662,0.0004950453118969919,positive,11-2021,2.0
pizza,0.0023893546807492463,0.0007892158268441416,1.126513851358117e-05,6.187572796950779e-06,positive,11-2021,2.0
exclude,0.0023639961074929526,5.234198895026804e-06,1.1025874328415922e-05,6.0700620281364464e-06,positive,11-2021,2.0
decline,0.002363967365403438,5.286891306919175e-06,1.0981014747573792e-05,6.060137223532937e-06,positive,11-2021,2.0
price,0.0023627661761461928,0.009553891383002616,1.0987133349640198e-05,6.102209797594793e-06,positive,11-2021,2.0
transaction,0.002327880283203265,0.00029209273860930385,0.0006693716827957721,0.0007861967370417779,positive,11-2021,2.0
sequentially,0.0023221117475057266,0.00014218737294356747,1.0981504332685059e-05,6.108640753986387e-06,positive,11-2021,2.0
achieve,0.0022986328625041706,5.2875659018730325e-06,0.0006937014256958974,0.0019426878011610652,positive,11-2021,2.0
free,0.0022850759134911574,0.0005153132103370937,1.1090187849529554e-05,0.002041085150608931,positive,11-2021,2.0
booking,0.0022678471016398505,0.00047057023019809866,1.1017113526381258e-05,6.095355773992507e-06,positive,11-2021,2.0
operation,0.002247376096133832,0.00016915238066017143,0.0033023110511385526,0.0019548382796192366,positive,11-2021,2.0
overall,0.002212319675801395,0.002839488797438494,1.1159064050627999e-05,0.0014595301073960644,positive,11-2021,2.0
profit,0.002184427441439907,5.321047890302052e-06,1.1068371110010994e-05,0.0002307430076118705,positive,11-2021,2.0
despite,0.002140320470320475,5.281373680126539e-06,1.108432346197799e-05,0.0005115414919712376,positive,11-2021,2.0
hotel,0.0021112440836637725,0.001266495386868615,0.0013903722784520958,0.0013519594041619142,positive,11-2021,2.0
delta,0.0020929283236448613,0.00042760247041331395,1.0965345042437856e-05,6.062485645233957e-06,positive,11-2021,2.0
international,0.002054557106466819,5.308241357980022e-06,0.0026341853996747337,0.0015480620337894792,positive,11-2021,2.0
resort,0.002052314934533789,5.352758047456563e-06,0.002710438710868317,6.1748196077903176e-06,positive,11-2021,2.0
significantly,0.002045306387149423,0.00038606220251187256,1.1133546398013745e-05,0.0009087641937574486,positive,11-2021,2.0
nearly,0.0020278174680345277,5.240219331448116e-06,0.0012023274276328356,0.0007094455024752627,positive,11-2021,2.0
time,0.0020200302626928192,0.009810398319848848,0.006979306321357853,0.0066676457802673835,positive,11-2021,2.0
believe,0.0020092981219863985,0.002427714882382076,0.005440807954870452,0.0037569647323312193,positive,11-2021,2.0
facility,0.0019866538550915866,5.302463651477836e-06,0.000552875642801623,0.00038402935765799353,positive,11-2021,2.0
dine,0.001970672195599871,5.380215189905431e-06,1.124663763175377e-05,6.130748496753559e-06,positive,11-2021,2.0
throughout,0.0019475756690109831,0.0006718765138124664,0.001180993218242017,0.0006537977612654253,positive,11-2021,2.0
date,0.001925940777213197,0.0005684302474205404,0.0022683136164482498,0.00016433894274268048,positive,11-2021,2.0
activity,0.0019150501637274539,0.0007036243424326594,1.1115231234699441e-05,0.00024007548625051763,positive,11-2021,2.0
room,0.0018784124405896495,0.0012595430003428244,1.1152820494957735e-05,0.0011619677385995724,positive,11-2021,2.0
change,0.001868888381215663,0.0043605906337563045,0.001223771047485743,6.277484040427682e-06,positive,11-2021,2.0
ahead,0.0018634674198506481,0.0013229715926687754,0.001520466739162058,0.002223170638615784,positive,11-2021,2.0
strength,0.0018594793170956204,0.0005548188371489414,0.0002929636049041413,0.0012692588971659545,positive,11-2021,2.0
gain,0.001833840600936433,0.0002620639199229483,1.1066443599568317e-05,0.0014866429997704145,positive,11-2021,2.0
momentum,0.0018255401962554232,0.0004697283197571445,0.000528066255565124,0.002500925269151748,positive,11-2021,2.0
delivery,0.0018217424802427836,0.0012202565296001886,1.1055510652819973e-05,0.0009290755417101308,positive,11-2021,2.0
recover,0.0018110930361855148,0.0006480942541214402,1.1083053386453963e-05,6.933085970782093e-05,positive,11-2021,2.0
top,0.001791504678365094,0.0013321229765303293,0.00077693967924337,0.0023878397016359443,positive,11-2021,2.0
environment,0.001788782447663154,0.002980699968767859,0.0012941338833020314,0.00031690941514801057,positive,11-2021,2.0
pricing,0.0017808582057802476,0.006745929788567453,1.0947834791664069e-05,6.096582171623335e-06,positive,11-2021,2.0
liquidity,0.0017744636908103987,5.205919383851642e-06,1.1234449326769752e-05,6.098976176854261e-06,positive,11-2021,2.0
outlook,0.0017723779470380427,0.0010792609009438413,0.0014650766395829147,6.125232193157652e-06,positive,11-2021,2.0
spending,0.0017720589087144095,0.00013494729238133695,1.0959544461204474e-05,0.00024873756613401035,positive,11-2021,2.0
far,0.0017552001111142137,0.001966102496488655,0.0007835710791238835,0.0015032724159648656,positive,11-2021,2.0
guest,0.0017534092990454185,0.0018766853162666135,0.00038945519179304117,0.006781778979352911,positive,11-2021,2.0
investment,0.001752076396279111,0.0016183400598083304,1.118127808465708e-05,0.006088995920703938,positive,11-2021,2.0
pleased,0.0017476397733324786,0.00015622656756983283,0.0012430080714838012,0.0014000315992455997,positive,11-2021,2.0
stock,0.0017240557923431069,5.325605484346468e-06,1.117551738724541e-05,0.0005027977331472674,positive,11-2021,2.0
owned,0.0017210515629211525,5.31126915083377e-06,0.0022262639555144055,6.125518093528235e-06,positive,11-2021,2.0
royalty,0.0017090454641720246,5.260433684018501e-06,1.1149297561493303e-05,6.016800709803031e-06,positive,11-2021,2.0
variant,0.0017090372072614739,5.290361759121045e-06,1.1016812244854686e-05,6.06271516111463e-06,positive,11-2021,2.0
mid,0.0017019450135027548,0.00138588743488544,1.1066025393790471e-05,6.148452169620812e-06,positive,11-2021,2.0
park,0.0016784276256790122,5.3608556560032855e-06,0.0010830597117784148,0.0006149126723574843,positive,11-2021,2.0
shack,0.0016709229440000613,0.0002798476239623251,1.1295647135635317e-05,0.002606617447974815,positive,11-2021,2.0
exceed,0.0016674969968270188,5.284088838693241e-06,1.1438569858460061e-05,0.0006146585922455467,positive,11-2021,2.0
ago,0.0016466336790494946,0.0012574782149815966,0.001292194757446874,0.0010016288627555715,positive,11-2021,2.0
hold,0.001645657807950774,0.002085139798044206,1.1162408604099251e-05,0.0006599377066664635,positive,11-2021,2.0
outstanding,0.0016451012997931544,5.261367374893476e-06,1.153213697370809e-05,0.00015457490404993627,positive,11-2021,2.0
reminder,0.0016399454020807668,5.227185760612839e-06,0.0005326985689173247,0.00020263446597172693,positive,11-2021,2.0
traffic,0.0016117835654837714,0.00144421813619337,1.1037638056991561e-05,0.0005920537455176505,positive,11-2021,2.0
compensation,0.001610856322087074,5.232178860516578e-06,1.1036796690044659e-05,6.06922400410373e-06,positive,11-2021,2.0
reduction,0.001610851913624691,5.277829787616643e-06,1.0982487401403128e-05,6.05033589418827e-06,positive,11-2021,2.0
expectation,0.0015991506686891092,0.001341271891352818,0.0021828453808224375,0.0006977928698322065,positive,11-2021,2.0
contract,0.0015980743710302169,0.0014838574127047338,0.0006322895236945739,6.210053351498308e-06,positive,11-2021,2.0
week,0.001597050067020758,0.004235331181745449,0.0010116765401211871,0.0012384109189455673,positive,11-2021,2.0
associate,0.0015920768948168849,0.0001438317306599511,0.00127752246148072,6.147316920526944e-06,positive,11-2021,2.0
action,0.0015854208809396926,0.0005643042638847757,1.1249878689353216e-05,7.288360527665077e-05,positive,11-2021,2.0
franchise,0.0015799770867619002,5.259330904352374e-06,0.011239384399875775,6.101562225138481e-06,positive,11-2021,2.0
spend,0.0015492468402333085,0.0028501617941223984,0.00024654058189086433,0.0017455186588411756,positive,11-2021,2.0
partially,0.0015454953003267446,5.197586404978286e-06,1.0940497649610641e-05,6.043878267642549e-06,positive,11-2021,2.0
even,0.0015394819223850627,0.004572033624331747,0.0012765895837815215,0.002888127394315924,positive,11-2021,2.0
payment,0.0015338585517024712,5.2914453314635685e-06,1.1007789549336474e-05,0.0004671375156239633,positive,11-2021,2.0
q2,0.0015333374324340238,0.0006114515100073029,1.1049249860306126e-05,6.111128360124705e-06,positive,11-2021,2.0
location,0.0015088130578896927,5.270206259599918e-06,0.0074969137997603335,0.0003008940593665355,positive,11-2021,2.0
pace,0.0014838577557295834,0.0004369652412373053,0.0007685944681586848,0.00022665013088231305,positive,11-2021,2.0
premises,0.0014799327212930721,5.236833533874245e-06,1.093409358706278e-05,6.06841136853256e-06,positive,11-2021,2.0
adr,0.00147991026841421,5.291628829948819e-06,1.0954782002362762e-05,6.0141706889127e-06,positive,11-2021,2.0
weekly,0.0014795492505503165,0.00034280865273497794,1.1030188174284714e-05,6.032388938045223e-06,positive,11-2021,2.0
fully,0.001476839435162416,0.0012652574224179273,1.1285151823031904e-05,0.0008327831895196792,positive,11-2021,2.0
run,0.001470197196313992,0.0029295405559991708,0.0002472260369305364,0.00019383357907296043,positive,11-2021,2.0
quarterly,0.0014686456611269466,5.223289704103292e-06,0.0010386636278602566,0.00011106403996109412,positive,11-2021,2.0
lead,0.0014615118642883358,0.0005133369736852371,0.0010924244101267403,0.0019628078227848476,positive,11-2021,2.0
meaningful,0.001456160181130609,0.0002523392633621137,0.0007705739652511834,0.0009152828623516486,positive,11-2021,2.0
leisure,0.0014466156838886443,0.00021823813942728002,1.1327381782635815e-05,0.00018030092970521032,positive,11-2021,2.0
incremental,0.0014325265849480131,0.0013475900920058674,1.122597295372869e-05,0.0007481063439963423,positive,11-2021,2.0
position,0.0014199639407148714,0.0007333561296940433,0.0011962565532717474,0.003971850724062859,positive,11-2021,2.0
slightly,0.0014193327844406862,0.0005461632805970446,1.097607011774704e-05,6.091625769486884e-06,positive,11-2021,2.0
experience,0.001403538181903005,0.0012384386590524432,0.001880700579975266,0.008281669754784787,positive,11-2021,2.0
gross,0.0014011870239922235,0.00020117223224470278,1.093446371010629e-05,9.175975790718042e-05,positive,11-2021,2.0
addition,0.0013819503643188473,5.287005366685073e-06,0.003094090411436371,0.001491180587706268,positive,11-2021,2.0
rise,0.0013681966692465864,0.000405047589075534,1.0990540717365556e-05,6.105100143072674e-06,positive,11-2021,2.0
effective,0.0013642989864446997,0.0001837757871287297,0.0006459561212780515,6.152645537456666e-06,positive,11-2021,2.0
roughly,0.0013618536325044938,0.0008510351124661877,1.111937931545098e-05,6.150006912359298e-06,positive,11-2021,2.0
contribute,0.0013485889862692238,5.272497395624028e-06,1.1178180317187941e-05,0.0005469037683798617,positive,11-2021,2.0
maintain,0.0013469109882360618,0.0006523650830590993,1.1192118236954658e-05,0.0011209195359756757,positive,11-2021,2.0
increased,0.0013362281048957167,5.3333711393999995e-06,1.0986377630500966e-05,7.767539616484534e-05,positive,11-2021,2.0
account,0.0013323250923426954,0.00034325006948508557,1.1101125444393243e-05,0.0004108725203409954,positive,11-2021,2.0
project,0.001331994127664428,0.00013523756157957667,0.00248648667216887,0.0002494552364329437,positive,11-2021,2.0
burger,0.001324731344397639,0.0005133117099627508,0.0005098574664795812,6.247076481574081e-06,positive,11-2021,2.0
deliver,0.001324449715470239,5.2720050478714934e-06,0.0005841515371538658,0.004638879342136514,positive,11-2021,2.0
attendance,0.0013160915416063745,5.294436364626849e-06,1.1074880877081478e-05,6.030395305828683e-06,positive,11-2021,2.0
look,0.0013129202245937906,0.018144549154546365,0.002658408321069492,0.006445926003766042,positive,11-2021,2.0
opening,0.001292711157183895,0.00026525191736360347,0.0064823720228399375,6.129473322645784e-06,positive,11-2021,2.0
finally,0.0012796810630949626,5.2508987339144444e-06,0.0012380161195278193,0.0010155986512456654,positive,11-2021,2.0
closure,0.001272994617412285,0.0002987296131079012,1.1386258017882775e-05,6.043910270918039e-06,positive,11-2021,2.0
previous,0.0012661166716468363,0.0002409767476496792,1.1055276730855723e-05,7.93989939998615e-05,positive,11-2021,2.0
earlier,0.001260437889090056,0.0009696429482126958,0.0016924411295237874,0.0013785162191662932,positive,11-2021,2.0
channel,0.001255664508286822,0.0008632591214112556,1.1033265284867838e-05,0.0030031065058001806,positive,11-2021,2.0
however,0.001248664769265674,0.00025624722252885583,0.00046811679384143077,6.147676060573359e-06,positive,11-2021,2.0
capex,0.0012342859332888081,0.000536534661187843,1.1103572439361999e-05,0.00012684047123130381,positive,11-2021,2.0
incentive,0.0012325596635278887,0.00046052776817633327,1.1175922081556851e-05,6.117692084178342e-06,positive,11-2021,2.0
digit,0.0012320563876570374,0.0008761432727712962,1.0941643051704083e-05,6.131332694436269e-06,positive,11-2021,2.0
day,0.0012297737940084807,0.004194078260100621,0.004000972890469931,0.002018762052171036,positive,11-2021,2.0
based,0.0012229575941526017,0.0003676587334099636,1.1108354685755653e-05,0.0018947037895519177,positive,11-2021,2.0
dilute,0.0012180944641834303,5.1889878262407576e-06,1.0934344716152869e-05,6.011450689741675e-06,positive,11-2021,2.0
almost,0.0012176272870437618,0.0013073012697801035,0.0005462953576198099,6.232574463040544e-06,positive,11-2021,2.0
ongoing,0.0012091058150439221,5.915532675227773e-05,0.0006287478541212058,0.0007228012964903988,positive,11-2021,2.0
wage,0.0012056169444751318,0.002609432710169254,1.1125130332828236e-05,6.049997007343031e-06,positive,11-2021,2.0
begin,0.0011946066877471352,0.00018980254532822397,0.004603419062352704,0.0008281473926120302,positive,11-2021,2.0
detail,0.0011911685834427722,0.0004086080143933096,0.002860707722733904,6.162397967709878e-06,positive,11-2021,2.0
short,0.0011884817199024932,0.0010188793203245062,1.121296450833638e-05,0.0004514161822236394,positive,11-2021,2.0
consecutive,0.0011851229386860365,5.232299339083422e-06,1.1020112987390805e-05,6.121783414163473e-06,positive,11-2021,2.0
sg,0.0011850782084066572,5.311701950155099e-06,1.1019543522903475e-05,6.07120054477906e-06,positive,11-2021,2.0
remainder,0.0011850453970559409,5.287328032139048e-06,1.1083732714324627e-05,6.094154486347244e-06,positive,11-2021,2.0
urban,0.0011822418788791553,0.00016315192734949241,1.1038166618447365e-05,6.1488918993778775e-06,positive,11-2021,2.0
ramp,0.0011775074109799416,0.0005754023302465828,1.1095027995493071e-05,0.0007046454244239774,positive,11-2021,2.0
portfolio,0.0011618547947003126,5.318449860374829e-06,0.001803084841854797,0.002704666014009142,positive,11-2021,2.0
estimate,0.0011587730834257933,0.00010501452911695557,0.0008811978115014539,6.08240964777889e-06,positive,11-2021,2.0
marketing,0.0011511318434120803,0.0014235377336939607,1.1154287273761693e-05,0.004312600481885905,positive,11-2021,2.0
show,0.0011482203717238667,0.000885718909445958,0.0005700176078561747,0.0012658229078768533,positive,11-2021,2.0
acquisition,0.0011381751585419942,5.297540406115094e-06,0.0012965079052855144,0.004777719484645365,positive,11-2021,2.0
combine,0.0011290552336020222,5.296677900595148e-06,1.1093935016669037e-05,0.0010186433563316554,positive,11-2021,2.0
move,0.0011131256023532562,0.0041713035833787805,0.0017105153676766013,0.002422761498443594,positive,11-2021,2.0
favorable,0.0011116642141504151,5.291045152831363e-06,1.122083553524204e-05,0.0002835917730756647,positive,11-2021,2.0
